URL,Core Vitals Assessment,First Contentful Paint (FCP),Largest Contentful Paint (LCP),Cumulative Layout Shift (CLS),Total Blocking Time (TBT),Speed Index,Timestamp (UTC)
https://www.anxietyuk.org.uk/get-involved/other-ways-to-support-anxiety-uk/,SLOW,0.8 s (SLOW),2.0 s (SLOW),0.002 (FAST),"1,180 ms",3.1 s,2025-07-05T11:59:43.144Z
https://www.anxietyuk.org.uk/legacies-and-in-memorial/,SLOW,0.8 s (SLOW),3.0 s (SLOW),0.004 (FAST),430 ms,3.1 s,2025-07-05T12:00:22.403Z
https://www.anxietyuk.org.uk/anxiety-research-3/,SLOW,0.8 s (SLOW),1.7 s (SLOW),0.003 (FAST),460 ms,2.9 s,2025-07-05T12:00:52.358Z
https://www.anxietyuk.org.uk/get-involved/music-competition/,SLOW,1.0 s (SLOW),3.2 s (SLOW),0.004 (FAST),510 ms,3.0 s,2025-07-05T12:01:31.444Z
https://www.anxietyuk.org.uk/workplace/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.001 (FAST),430 ms,2.6 s,2025-07-05T12:02:02.277Z
https://www.anxietyuk.org.uk/workplace/workplace-training/,SLOW,0.8 s (SLOW),1.4 s (SLOW),0.035 (FAST),700 ms,2.9 s,2025-07-05T12:02:35.506Z
https://www.anxietyuk.org.uk/workplace/charity-of-the-year/,SLOW,0.8 s (SLOW),1.7 s (SLOW),0.006 (FAST),210 ms,4.1 s,2025-07-05T12:03:14.140Z
https://www.anxietyuk.org.uk/support-for-non-profit-organisations/,SLOW,0.8 s (SLOW),1.5 s (SLOW),0.007 (FAST),510 ms,2.9 s,2025-07-05T12:03:49.973Z
https://www.anxietyuk.org.uk/support-for-the-workplace/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.005 (FAST),330 ms,2.9 s,2025-07-05T12:04:25.353Z
https://www.anxietyuk.org.uk/workplace/working-with-us/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.03 (FAST),290 ms,3.0 s,2025-07-05T12:04:53.252Z
https://www.anxietyuk.org.uk/advertising-sponsorship/,SLOW,0.8 s (SLOW),2.2 s (SLOW),0.006 (FAST),770 ms,3.1 s,2025-07-05T12:05:25.572Z
https://www.anxietyuk.org.uk/shop/,SLOW,0.8 s (SLOW),1.2 s (SLOW),0.023 (FAST),640 ms,3.3 s,2025-07-05T12:06:03.490Z
https://www.anxietyuk.org.uk/donation/,SLOW,0.8 s (SLOW),1.4 s (SLOW),0.003 (FAST),810 ms,2.7 s,2025-07-05T12:06:41.291Z
https://www.anxietyuk.org.uk/contact-us/,SLOW,1.0 s (SLOW),1.7 s (SLOW),0.002 (FAST),870 ms,2.8 s,2025-07-05T12:07:22.099Z
https://www.anxietyuk.org.uk/promotional/,SLOW,0.9 s (SLOW),1.3 s (SLOW),0.174 (FAST),580 ms,3.8 s,2025-07-05T12:08:01.483Z
https://www.anxietyuk.org.uk/products/therapy/therapy-request/,SLOW,0.8 s (SLOW),2.8 s (SLOW),0.047 (FAST),"1,360 ms",3.2 s,2025-07-05T12:08:35.024Z
https://www.anxietyuk.org.uk/therapguide/,SLOW,0.6 s (SLOW),1.0 s (SLOW),0.102 (FAST),0 ms,2.1 s,2025-07-05T12:09:19.081Z
https://www.anxietyuk.org.uk/get-involved/research-area/katharine-and-harold-fisher-anxiety-research-fund/,SLOW,0.8 s (SLOW),1.5 s (SLOW),0.004 (FAST),390 ms,2.8 s,2025-07-05T12:09:40.031Z
https://www.anxietyuk.org.uk/products/membership/membership-individuals/anxiety-uk-group-membership/,SLOW,0.8 s (SLOW),3.0 s (SLOW),0.014 (FAST),650 ms,5.1 s,2025-07-05T12:10:11.165Z
https://www.anxietyuk.org.uk/products/membership/membership-individuals/anxiety-uk-student-membership/,SLOW,0.9 s (SLOW),4.0 s (SLOW),0.026 (FAST),700 ms,4.3 s,2025-07-05T12:10:51.609Z
https://www.anxietyuk.org.uk/products/membership/anxiety-uk-bekind-membership/,SLOW,0.9 s (SLOW),2.9 s (SLOW),0.003 (FAST),"1,100 ms",3.4 s,2025-07-05T12:11:35.702Z
https://www.anxietyuk.org.uk/products/membership/membership-individuals/anxiety-uk-standard-membership/,SLOW,0.8 s (SLOW),3.4 s (SLOW),0.013 (FAST),930 ms,3.6 s,2025-07-05T12:12:22.096Z
https://www.anxietyuk.org.uk/products/membership/membership-individuals/anxiety-uk-family-membership/,SLOW,0.8 s (SLOW),7.3 s (SLOW),0.006 (FAST),400 ms,5.8 s,2025-07-05T12:13:04.627Z
https://www.anxietyuk.org.uk/get-help/access-therapy/,SLOW,0.8 s (SLOW),1.9 s (SLOW),0.004 (FAST),880 ms,4.0 s,2025-07-05T12:13:37.708Z
https://www.anxietyuk.org.uk/clinical-advisors/,SLOW,0.8 s (SLOW),1.8 s (SLOW),0.002 (FAST),940 ms,3.2 s,2025-07-05T12:14:12.572Z
https://www.anxietyuk.org.uk/celebrity-patrons/,SLOW,0.8 s (SLOW),1.5 s (SLOW),0.004 (FAST),810 ms,2.7 s,2025-07-05T12:14:56.956Z
https://www.anxietyuk.org.uk/environment/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.003 (FAST),370 ms,2.5 s,2025-07-05T12:15:37.736Z
https://www.anxietyuk.org.uk/edi-and-accessibility/,SLOW,0.9 s (SLOW),2.8 s (SLOW),0.003 (FAST),"1,100 ms",3.1 s,2025-07-05T12:16:06.575Z
https://www.anxietyuk.org.uk/media-centre/,SLOW,1.0 s (SLOW),1.9 s (SLOW),0.003 (FAST),310 ms,2.7 s,2025-07-05T12:17:46.395Z
https://www.anxietyuk.org.uk/vacancies/,SLOW,0.8 s (SLOW),2.0 s (SLOW),0.005 (FAST),350 ms,2.7 s,2025-07-05T12:18:15.514Z
https://www.anxietyuk.org.uk/products/anxiety-condition/anxiety/new-understanding-anxiety-booklet-instant-download/,SLOW,0.8 s (SLOW),3.8 s (SLOW),0.013 (FAST),"1,340 ms",3.5 s,2025-07-05T12:18:48.579Z
https://www.anxietyuk.org.uk/products/anxiety-condition/anxiety/the-caregivers-guide-to-anxiety-instant-download/,SLOW,0.8 s (SLOW),3.6 s (SLOW),0.027 (FAST),470 ms,3.4 s,2025-07-05T12:19:35.425Z
https://www.anxietyuk.org.uk/products/anxiety-condition/anxiety/student-guide/,SLOW,1.0 s (SLOW),4.2 s (SLOW),0.003 (FAST),880 ms,3.8 s,2025-07-05T12:20:10.551Z
https://www.anxietyuk.org.uk/products/anxiety-condition/anxiety/nutrition-and-anxiety-a-self-help-guide-3/,SLOW,0.8 s (SLOW),4.3 s (SLOW),0.019 (FAST),"1,070 ms",3.7 s,2025-07-05T12:20:55.598Z
https://www.anxietyuk.org.uk/membership/individual-membership/,SLOW,0.8 s (SLOW),1.7 s (SLOW),0.003 (FAST),"1,030 ms",3.0 s,2025-07-05T12:21:39.800Z
https://www.anxietyuk.org.uk/membership/student-membership/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.004 (FAST),450 ms,2.8 s,2025-07-05T12:22:18.814Z
https://www.anxietyuk.org.uk/membership/family-memberships/,SLOW,0.8 s (SLOW),1.7 s (SLOW),0.006 (FAST),400 ms,2.6 s,2025-07-05T12:22:49.469Z
https://www.anxietyuk.org.uk/membership/be-kind-to-yourself-membership/,SLOW,0.8 s (SLOW),1.7 s (SLOW),0.006 (FAST),380 ms,2.7 s,2025-07-05T12:23:16.152Z
https://www.anxietyuk.org.uk/membership/lifetime-membership/,SLOW,0.8 s (SLOW),1.7 s (SLOW),0.006 (FAST),520 ms,3.2 s,2025-07-05T12:23:46.947Z
https://www.anxietyuk.org.uk/products/membership/membership-individuals/anxiety-uk-lifetime-membership/,SLOW,0.8 s (SLOW),3.0 s (SLOW),0.014 (FAST),770 ms,3.1 s,2025-07-05T12:24:17.165Z
https://www.anxietyuk.org.uk/membership/corporate-membership/,SLOW,0.8 s (SLOW),1.5 s (SLOW),0.004 (FAST),640 ms,2.8 s,2025-07-05T12:24:53.862Z
https://www.anxietyuk.org.uk/products/membership/membership-individuals/practitioner-membership/,SLOW,0.8 s (SLOW),3.0 s (SLOW),0.002 (FAST),730 ms,6.6 s,2025-07-05T12:25:28.059Z
https://www.anxietyuk.org.uk/anxiety-uk-therapy-modalities/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.004 (FAST),750 ms,2.6 s,2025-07-05T12:26:12.507Z
https://www.anxietyuk.org.uk/auk-services/,SLOW,0.8 s (SLOW),1.7 s (SLOW),0.004 (FAST),300 ms,2.6 s,2025-07-05T12:27:16.500Z
https://www.anxietyuk.org.uk/products/support-groups/therapist-led-groups-payments/,SLOW,1.0 s (SLOW),5.0 s (SLOW),0.008 (FAST),490 ms,3.4 s,2025-07-05T12:27:45.673Z
https://www.anxietyuk.org.uk/products/support-groups/art-for-anxiety-relief-afar-group/,SLOW,1.0 s (SLOW),5.5 s (SLOW),0.006 (FAST),730 ms,3.7 s,2025-07-05T12:28:20.523Z
https://www.anxietyuk.org.uk/products/anxiety-condition/stress/exam-anxiety-guide/,SLOW,1.0 s (SLOW),3.9 s (SLOW),0.006 (FAST),750 ms,4.0 s,2025-07-05T12:29:01.324Z
https://www.anxietyuk.org.uk/products/anxiety-condition/stress/exam-results-stress-and-anxiety-guide/,SLOW,0.8 s (SLOW),4.5 s (SLOW),0.011 (FAST),"1,380 ms",4.0 s,2025-07-05T12:29:45.181Z
https://www.anxietyuk.org.uk/products/anxiety-condition/stress/stress-anxiety-booklet-instant-download/,SLOW,0.8 s (SLOW),4.4 s (SLOW),0.024 (FAST),980 ms,3.9 s,2025-07-05T12:30:36.117Z
https://www.anxietyuk.org.uk/product-category/book/,SLOW,0.8 s (SLOW),1.0 s (SLOW),0.023 (FAST),"1,110 ms",3.1 s,2025-07-05T12:31:21.840Z
https://www.anxietyuk.org.uk/blog/exams-and-university-when-should-you-stop-and-recharge/,SLOW,1.0 s (SLOW),1.3 s (SLOW),0.016 (FAST),510 ms,2.9 s,2025-07-05T12:32:01.365Z
https://www.anxietyuk.org.uk/product-category/free-resources/,SLOW,1.0 s (SLOW),1.2 s (SLOW),0.023 (FAST),810 ms,2.7 s,2025-07-05T12:32:32.911Z
https://www.anxietyuk.org.uk/product-category/children-and-anxiety/,SLOW,0.9 s (SLOW),1.1 s (SLOW),0.033 (FAST),800 ms,2.7 s,2025-07-05T12:33:12.956Z
https://www.anxietyuk.org.uk/products/special-offers/special-offers-dvds/children-and-anxiety-dvd/,SLOW,0.8 s (SLOW),4.5 s (SLOW),0.009 (FAST),"1,250 ms",3.6 s,2025-07-05T12:33:53.378Z
https://www.anxietyuk.org.uk/products/children-and-anxiety/guided-parent-led-cbt-for-children-and-young-people/,SLOW,0.8 s (SLOW),5.0 s (SLOW),0.008 (FAST),250 ms,4.3 s,2025-07-05T12:34:41.346Z
https://www.anxietyuk.org.uk/get-help/helping-your-child/guided-parent-delivered-referral-form/,SLOW,0.9 s (SLOW),1.7 s (SLOW),0.003 (FAST),790 ms,2.7 s,2025-07-05T12:35:18.633Z
https://www.anxietyuk.org.uk/anxiety-uk-tauk-application/,SLOW,0.8 s (SLOW),1.0 s (SLOW),0.005 (FAST),720 ms,4.0 s,2025-07-05T12:35:57.191Z
https://www.anxietyuk.org.uk/product-category/special-offers/page/2/,SLOW,0.9 s (SLOW),1.1 s (SLOW),0.034 (FAST),460 ms,2.8 s,2025-07-05T12:36:34.735Z
https://www.anxietyuk.org.uk/blog/is-your-debt-making-you-more-anxious/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.012 (FAST),250 ms,3.0 s,2025-07-05T12:38:08.685Z
https://www.anxietyuk.org.uk/anxiety-type/agoraphobia/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.004 (FAST),430 ms,3.0 s,2025-07-05T12:38:38.887Z
https://www.anxietyuk.org.uk/anxiety-type/anticipatory-anxiety/,SLOW,1.0 s (SLOW),6.0 s (SLOW),0.003 (FAST),"1,050 ms",3.7 s,2025-07-05T12:39:10.264Z
https://www.anxietyuk.org.uk/anxiety-type/arachnophobia/,SLOW,0.8 s (SLOW),1.5 s (SLOW),0.002 (FAST),670 ms,3.2 s,2025-07-05T12:39:49.304Z
https://www.anxietyuk.org.uk/anxiety-type/body-dysmorphic-disorder/,SLOW,0.8 s (SLOW),1.5 s (SLOW),0.002 (FAST),970 ms,2.8 s,2025-07-05T12:40:25.266Z
